"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"1",4775.2099609375,4786.830078125,4765.75,4766.18017578125,2677820000,4766.18017578125
"2",4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,3831020000,4796.56005859375
"3",4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4683170000,4793.5400390625
"4",4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4887960000,4700.580078125
"5",4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4295280000,4696.0498046875
"6",4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4181510000,4677.02978515625
"7",4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4511810000,4670.2900390625
"8",4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4101590000,4713.06982421875
"9",4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4048220000,4726.35009765625
"10",4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4251730000,4659.02978515625
"11",4637.990234375,4665.1298828125,4614.75,4662.85009765625,4338490000,4662.85009765625
"12",4632.240234375,4632.240234375,4568.7001953125,4577.10986328125,4748700000,4577.10986328125
"13",4588.02978515625,4611.5498046875,4530.2001953125,4532.759765625,4465740000,4532.759765625
"14",4547.35009765625,4602.10986328125,4477.9501953125,4482.72998046875,4640870000,4482.72998046875
"15",4471.3798828125,4494.52001953125,4395.33984375,4397.93994140625,5589100000,4397.93994140625
"16",4356.31982421875,4417.35009765625,4222.6201171875,4410.1298828125,6928110000,4410.1298828125
"17",4366.64013671875,4411.009765625,4287.10986328125,4356.4501953125,5145050000,4356.4501953125
"18",4408.43017578125,4453.22998046875,4304.7998046875,4349.93017578125,5570640000,4349.93017578125
"19",4380.580078125,4428.740234375,4309.5,4326.509765625,5214200000,4326.509765625
"20",4336.18994140625,4432.72021484375,4292.4599609375,4431.85009765625,5031090000,4431.85009765625
"21",4431.7900390625,4516.89013671875,4414.02001953125,4515.5498046875,5098610000,4515.5498046875
"22",4519.56982421875,4550.490234375,4483.52978515625,4546.5400390625,4816830000,4546.5400390625
"23",4566.39013671875,4595.31005859375,4544.31982421875,4589.3798828125,4481580000,4589.3798828125
"24",4535.41015625,4542.8798828125,4470.39013671875,4477.43994140625,4401970000,4477.43994140625
"25",4482.7900390625,4539.66015625,4451.5,4500.52978515625,4706290000,4500.52978515625
"26",4505.75,4521.85986328125,4471.47021484375,4483.8701171875,4228480000,4483.8701171875
"27",4480.02001953125,4531.31982421875,4465.39990234375,4521.5400390625,4459620000,4521.5400390625
"28",4547,4590.02978515625,4547,4587.18017578125,4524350000,4587.18017578125
"29",4553.240234375,4588.919921875,4484.31005859375,4504.080078125,5314860000,4504.080078125
"30",4506.27001953125,4526.330078125,4401.41015625,4418.64013671875,5251500000,4418.64013671875
"31",4412.60986328125,4426.22021484375,4364.83984375,4401.669921875,4600390000,4401.669921875
"32",4429.27978515625,4472.77001953125,4429.27978515625,4471.06982421875,4430830000,4471.06982421875
"33",4455.75,4489.5498046875,4429.68017578125,4475.009765625,4283640000,4475.009765625
"34",4456.06005859375,4456.06005859375,4373.81005859375,4380.259765625,4539420000,4380.259765625
"35",4384.56982421875,4394.60009765625,4327.22021484375,4348.8701171875,4708060000,4348.8701171875
"36",4332.740234375,4362.1201171875,4267.10986328125,4304.759765625,5121900000,4304.759765625
"37",4324.93017578125,4341.509765625,4221.509765625,4225.5,4797430000,4225.5
"38",4155.77001953125,4294.72998046875,4114.64990234375,4288.7001953125,6752130000,4288.7001953125
"39",4298.3798828125,4385.33984375,4286.830078125,4384.64990234375,5177060000,4384.64990234375
"40",4354.169921875,4388.83984375,4315.1201171875,4373.93994140625,6071370000,4373.93994140625
"41",4363.14013671875,4378.4501953125,4279.5400390625,4306.259765625,5846230000,4306.259765625
"42",4322.56005859375,4401.47998046875,4322.56005859375,4386.5400390625,5337870000,4386.5400390625
"43",4401.31005859375,4416.77978515625,4345.56005859375,4363.490234375,5039890000,4363.490234375
"44",4342.1201171875,4342.1201171875,4284.97998046875,4328.8701171875,5797380000,4328.8701171875
"45",4327.009765625,4327.009765625,4199.85009765625,4201.08984375,6940470000,4201.08984375
"46",4202.66015625,4276.93994140625,4157.8701171875,4170.7001953125,7243120000,4170.7001953125
"47",4223.10009765625,4299.39990234375,4223.10009765625,4277.8798828125,5662670000,4277.8798828125
"48",4252.5498046875,4268.27978515625,4209.7998046875,4259.52001953125,4980830000,4259.52001953125
"49",4279.5,4291.009765625,4200.490234375,4204.31005859375,4938640000,4204.31005859375
"50",4202.75,4247.56982421875,4161.72021484375,4173.10986328125,5574920000,4173.10986328125
"51",4188.81982421875,4271.0498046875,4187.89990234375,4262.4501953125,5392470000,4262.4501953125
"52",4288.14013671875,4358.89990234375,4251.990234375,4357.85986328125,6309750000,4357.85986328125
"53",4345.10986328125,4412.669921875,4335.64990234375,4411.669921875,4985090000,4411.669921875
"54",4407.33984375,4465.39990234375,4390.56982421875,4463.1201171875,8278430000,4463.1201171875
"55",4462.39990234375,4481.75,4424.2998046875,4461.18017578125,4869820000,4461.18017578125
"56",4469.10009765625,4522,4469.10009765625,4511.60986328125,4754840000,4511.60986328125
"57",4493.10009765625,4501.06982421875,4455.81005859375,4456.240234375,4550670000,4456.240234375
"58",4469.97998046875,4520.580078125,4465.169921875,4520.16015625,4131390000,4520.16015625
"59",4522.91015625,4546.02978515625,4501.06982421875,4543.06005859375,4305020000,4543.06005859375
